,상호명,상권업종소분류코드,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,위도,경도
49784,대월닭오리,Q05A08,후라이드/양념치킨,서울특별시,강동구,암사1동,암사동,서울특별시 강동구 암사1길 18,37.5516033372719,127.129837143762
49846,훌랄라참숯바베큐치킨번동점,Q05A08,후라이드/양념치킨,서울특별시,강북구,번3동,번동,서울특별시 강북구 월계로37길 97,37.6262924855446,127.043843052741
49885,푸라닭,Q05A08,후라이드/양념치킨,서울특별시,성북구,정릉1동,정릉동,서울특별시 성북구 서경로 60,37.6099392860192,127.015431124636
49992,바른치킨,Q05A08,후라이드/양념치킨,서울특별시,영등포구,여의동,여의도동,서울특별시 영등포구 63로 45,37.521347273052704,126.93730538892099
50341,치킨플러스,Q05A08,후라이드/양념치킨,서울특별시,성북구,안암동,안암동1가,서울특별시 성북구 고려대로7길 52,37.5881721420798,127.01999797927
50342,러브미텐더,Q05A08,후라이드/양념치킨,서울특별시,중구,광희동,광희동2가,서울특별시 중구 장충단로 213,37.563715694742,127.006803330231
50343,매일치킨,Q05A08,후라이드/양념치킨,서울특별시,노원구,공릉2동,공릉동,서울특별시 노원구 화랑로51길 20,37.624077199476105,127.089570132321
50344,와아치킨,Q05A08,후라이드/양념치킨,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 가로공원로76길 35,37.5354637045684,126.83753487428899
50345,엔칙스치킨,Q05A08,후라이드/양념치킨,서울특별시,은평구,갈현2동,갈현동,서울특별시 은평구 연서로27길 20-14,37.618633792294105,126.917639702663
50346,자담치킨,Q05A08,후라이드/양념치킨,서울특별시,강서구,발산1동,내발산동,서울특별시 강서구 강서로45길 92-32,37.54916778030471,126.833813853039
50353,청기와집,Q05A08,후라이드/양념치킨,서울특별시,동작구,노량진2동,노량진동,서울특별시 동작구 노량진로 126,37.5131599186057,126.939661164408
50607,페리카나하안점,Q05A08,후라이드/양념치킨,서울특별시,금천구,독산1동,독산동,서울특별시 금천구 한내로 69-15,37.4573273674861,126.886387562624
50670,호치킨,Q05A08,후라이드/양념치킨,서울특별시,중랑구,상봉2동,상봉동,서울특별시 중랑구 봉우재로33길 31,37.5939850369329,127.08758151285801
50673,치킨플러스,Q05A08,후라이드/양념치킨,서울특별시,송파구,송파1동,송파동,서울특별시 송파구 백제고분로46길 22,37.5076711410732,127.113324582904
50675,와치킨,Q05A08,후라이드/양념치킨,서울특별시,양천구,신월3동,신월동,서울특별시 양천구 남부순환로40길 25,37.534410894412105,126.82765095679
